session,device,gpu,session_seconds,views_visited,switch_count,speed_at_rating,comfort_wheel,comfort_swing,comfort_cups,fps_median,notes
s01,,,,,,,,,,,
s02,,,,,,,,,,,
s03,,,,,,,,,,,
s04,,,,,,,,,,,
s05,,,,,,,,,,,
